자치구,신청링크
강동구,https://www.gangdong.go.kr/web/newportal/largeWaste/apply/step1
송파구,https://www.songpa.go.kr/www/contents.do?key=2116&
광진구,https://www.gwangjin.go.kr/bigclean/bigWeb/order/viewOrder.do
성동구,https://www.sd.go.kr/main/contents.do?key=1670&
중랑구,https://the-cleanjungnang.com/main/
노원구,https://smartclean.nowon.kr/online/bulky/request
성북구,https://smartclean.sb.go.kr/
강북구,https://www.gangbuk.go.kr:18000/portal/bbs/B0000088/list.do?menuNo=200291
용산구,https://www.yongsan.go.kr/portal/main/contents.do?menuNo=200672
강남구,https://clean.gangnam.go.kr/use/biwa/USEBIWA02010000.do
서초구,https://www.seocho.go.kr/site/seocho/01/10103070302002018030701.jsp
관악구,https://smartclean.gwanak.go.kr/
동작구,https://smartclean.dongjak.go.kr/online/bulky/request
금천구,https://smartclean.geumcheon.go.kr/
영등포구,https://smartclean.ydp.go.kr/
구로구,https://www.guro.go.kr/www/infoExhaust.do?key=3440&
양천구,https://smartclean.yangcheon.go.kr/
강서구,https://www.gangseo.seoul.kr/gs010206
중구,https://www.junggu.seoul.kr/content.do?cmsid=14192
종로구,https://jongno.go.kr/waste/pc/web/main/main.do
서대문구,https://www.sdm.go.kr/civil/print/xpay/reg.do
은평구,https://ai-waste.ep.go.kr/
마포구,https://smartclean.mapo.go.kr/
도봉구,https://www.dobong.go.kr/subsite/waste/Contents.asp?code=10007383
동대문구,https://www.ddm.go.kr/www/contents.do?key=82
