설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자
도로변(구로동로 13),서울특별시,구로구,서울특별시 구로구 구로동로 13,서울특별시 구로구 가리봉동 121-30,37.48289633,126.8868871,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
대동의류 앞,서울특별시,구로구,서울특별시 구로구 구로동로 25,서울특별시 구로구 가리봉동 88-18,37.48387266,126.8863248,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
남구로역 3번출구,서울특별시,구로구,서울특별시 구로구 구로동로 31,서울특별시 구로구 가리봉동 25-51,37.48444034,126.8859907,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
삼부르네상스 정류소,서울특별시,구로구,서울특별시 구로구 남부순환로 1295,서울특별시 구로구 가리봉동 137-4,37.47911835,126.8948323,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
디지털단지오거리 정류소,서울특별시,구로구,서울특별시 구로구 남부순환로105길 76,서울특별시 구로구 가리봉동 125-16,37.48016123,126.8886952,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
횡단보도 앞(가리봉동 121-44)(1),서울특별시,구로구,서울특별시 구로구 남부순환로105길 134,서울특별시 구로구 가리봉동 121-44,37.48230207,126.8867218,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
횡단보도 앞(가리봉동 121-44)(2),서울특별시,구로구,서울특별시 구로구 남부순환로105길 134,서울특별시 구로구 가리봉동 121-44,37.48230207,126.8867218,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
크림슨빌딩 앞,서울특별시,구로구,서울특별시 구로구 디지털로 226,서울특별시 구로구 가리봉동 134-114,37.48009519,126.8911068,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(디지털로 231),서울특별시,구로구,서울특별시 구로구 디지털로 231,서울특별시 구로구 가리봉동 131-11,37.48076327,126.891283,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
횡단보도 앞(디지털로27길 135)(1),서울특별시,구로구,서울특별시 구로구 디지털로27길 135,서울특별시 구로구 가리봉동 89-99,37.48484996,126.8865766,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
횡단보도 앞(디지털로27길 135)(2),서울특별시,구로구,서울특별시 구로구 디지털로27길 135,서울특별시 구로구 가리봉동 89-99,37.48484996,126.8865766,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
개봉역 버스정류소,서울특별시,구로구,서울특별시 구로구 개봉로23가길 30,서울특별시 구로구 개봉동 416-146,37.49506475,126.8580465,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(경인로33길 51),서울특별시,구로구,서울특별시 구로구 경인로33길 51,서울특별시 구로구 개봉동 134-8,37.50024126,126.8511388,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
개봉1동사거리,서울특별시,구로구,서울특별시 구로구 남부순환로 775,서울특별시 구로구 개봉동 492,37.50156787,126.8471623,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
농협 앞,서울특별시,구로구,서울특별시 구로구 경인로 313,서울특별시 구로구 개봉동 146-24,37.49749954,126.8551588,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
진성요양센터,서울특별시,구로구,서울특별시 구로구 경인로 281,서울특별시 구로구 개봉동 139-200,37.49849715,126.851827,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(고척로 101),서울특별시,구로구,서울특별시 구로구 고척로 101,서울특별시 구로구 개봉동 63-35,37.50127895,126.8452527,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
거성푸르뫼 아파트,서울특별시,구로구,서울특별시 구로구 고척로 85,서울특별시 구로구 개봉동 60-101,37.50107408,126.8438229,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
버스정류장(17312),서울특별시,구로구,서울특별시 구로구 고척로 102,서울특별시 구로구 개봉동 66-32,37.50103924,126.8454965,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(경인로33길 25),서울특별시,구로구,서울특별시 구로구 경인로33길 25,서울특별시 구로구 개봉동 139-61,37.49905708,126.8517194,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
대림프라자,서울특별시,구로구,서울특별시 구로구 경인로 319,서울특별시 구로구 개봉동 156-5,37.49759938,126.8556011,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
개봉푸르지오 정문,서울특별시,구로구,서울특별시 구로구 남부순환로 775,서울특별시 구로구 개봉동 492,37.50156787,126.8471623,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(개봉로 63),서울특별시,구로구,서울특별시 구로구 개봉로 63,서울특별시 구로구 개봉동 403-53,37.49138218,126.8556895,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(개봉로 71),서울특별시,구로구,서울특별시 구로구 개봉로 71,서울특별시 구로구 개봉동 403-206,37.49209383,126.8555745,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(개봉로19길 43),서울특별시,구로구,서울특별시 구로구 개봉로19길 43,서울특별시 구로구 개봉동 302-21,37.49360219,126.8555586,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(개봉로20길 54)(1),서울특별시,구로구,서울특별시 구로구 개봉로20길 54,서울특별시 구로구 개봉동 407-14,37.49343625,126.8573608,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(개봉로20길 54)(2),서울특별시,구로구,서울특별시 구로구 개봉로20길 54,서울특별시 구로구 개봉동 407-14,37.49343625,126.8573608,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(개봉로20길 74)(1),서울특별시,구로구,서울특별시 구로구 개봉로20길 74,서울특별시 구로구 개봉동 407-17,37.49328895,126.8584193,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(개봉로20길 74)(2),서울특별시,구로구,서울특별시 구로구 개봉로20길 74,서울특별시 구로구 개봉동 407-17,37.49328895,126.8584193,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
삼호아파트,서울특별시,구로구,서울특별시 구로구 남부순환로95길 16,서울특별시 구로구 개봉동 471,37.49456794,126.8573079,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
임괄아파트,서울특별시,구로구,서울특별시 구로구 남부순환로95길 30,서울특별시 구로구 개봉동 403-217,37.49413421,126.8564997,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(개봉로 4),서울특별시,구로구,서울특별시 구로구 개봉로 4,서울특별시 구로구 개봉동 290-6,37.48610225,126.8567755,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
버스정류장(17739),서울특별시,구로구,서울특별시 구로구 개봉로1길 40,서울특별시 구로구 개봉동 367-1,37.48504966,126.8544668,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(개봉로 10)(1),서울특별시,구로구,서울특별시 구로구 개봉로 10,서울특별시 구로구 개봉동 403-196,37.48662187,126.8567122,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(개봉로 10)(2),서울특별시,구로구,서울특별시 구로구 개봉로 10,서울특별시 구로구 개봉동 403-196,37.48662187,126.8567122,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(개봉로 22),서울특별시,구로구,서울특별시 구로구 개봉로 22,서울특별시 구로구 개봉동 403-171,37.48750656,126.856558,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(개봉로 34),서울특별시,구로구,서울특별시 구로구 개봉로 34,서울특별시 구로구 개봉동 403-154,37.48860421,126.8564451,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
새마을금고 양지지점 앞 횡단보도 인근,서울특별시,구로구,서울특별시 구로구 경서로 47,서울특별시 구로구 고척동 134-33,37.50149371,126.8585145,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
버스정류장(17228),서울특별시,구로구,서울특별시 구로구 중앙로 37,,37.50116082,126.863006,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
맘스식자재 마트(중앙로변) 앞 횡단보도,서울특별시,구로구,서울특별시 구로구 중앙로10길 7,,37.5034895,126.8626141,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
버스정류장(17226),서울특별시,구로구,서울특별시 구로구 중앙로 63,,37.50325232,126.8618884,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
서울고척동 우체국 인근,서울특별시,구로구,서울특별시 구로구 중앙로 76,,37.50444791,126.8617685,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
하이리빙아파트,서울특별시,구로구,서울특별시 구로구 고척로 238,서울특별시 구로구 고척동 333,37.50617829,126.8594037,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
두성인테리어 앞,서울특별시,구로구,서울특별시 구로구 경인로 331,,37.497642,126.8569352,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(경인로 403)(1),서울특별시,구로구,서울특별시 구로구 경인로 403,,37.49795843,126.8643477,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(경인로 403)(2),서울특별시,구로구,서울특별시 구로구 경인로 403,,37.49795843,126.8643477,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
구로솔약국,서울특별시,구로구,서울특별시 구로구 경인로 433,,37.49969202,126.867056,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
동양미래대학교 정문 인근,서울특별시,구로구,서울특별시 구로구 경인로 445,,37.49999579,126.8681697,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(고척로 195),서울특별시,구로구,서울특별시 구로구 고척로 195,,37.50492878,126.854807,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(고척로 177),서울특별시,구로구,서울특별시 구로구 고척로 177,,37.50419607,126.853141,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(고척로 202),서울특별시,구로구,서울특별시 구로구 고척로 202,,37.50485847,126.855798,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(고척로 206),서울특별시,구로구,서울특별시 구로구 고척로 206,,37.50501563,126.8561093,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
도로변(고척로 209-1),서울특별시,구로구,서울특별시 구로구 고척로 209-1,,37.5054913,126.856546,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
버스정류소(17215)(1),서울특별시,구로구,서울특별시 구로구 고척로 142-1,서울특별시 구로구 고척동 194-3,37.50264701,126.8498373,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
버스정류소(17215)(2),서울특별시,구로구,서울특별시 구로구 고척로 142-1,서울특별시 구로구 고척동 333,37.50264701,126.8498373,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
현대연예인아파트,서울특별시,구로구,서울특별시 구로구 구일로4길 46,서울특별시 구로구 구로동 685-70,37.49326723,126.8778699,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
구로1동주민센터,서울특별시,구로구,서울특별시 구로구 구일로4길 57,서울특별시 구로구 구로동 685-213,37.49304008,126.8757883,,일반쓰레기,서울특별시 구로구청 청소행정과,02-860-2918,2024-12-26
