설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자
화랑대역 1번출구 버스정류장,서울특별시,노원구,서울특별시 노원구 화랑로 510,,37.61989439,127.0837446,,일반쓰레기,서울특별시 노원구청,,2025-03-26
공릉한보아파트 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 공릉로46길 18,,37.627173,127.0799936,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노원경찰서 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 노원로16길 15,,37.64344507,127.0733372,,일반쓰레기,서울특별시 노원구청,,2025-03-26
장미아파트 버스정류장(602동 앞),서울특별시,노원구,서울특별시 노원구 섬밭로 196,,37.63399762,127.0672779,,일반쓰레기,서울특별시 노원구청,,2025-03-26
공릉역 4번출구 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1081,,37.62637728,127.0722704,,일반쓰레기,서울특별시 노원구청,,2025-03-26
동일로 1041(은성빌딩) 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1041,,37.62310296,127.0735029,,일반쓰레기,서울특별시 노원구청,,2025-03-26
태릉입구역 3번출구 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로173길 12,,37.61861443,127.0746314,,일반쓰레기,서울특별시 노원구청,,2025-03-26
태릉입구역 4번출구 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 996,,37.61919557,127.0754877,,일반쓰레기,서울특별시 노원구청,,2025-03-26
공릉역(공연초등학교방면)버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 192길 20,,37.62590104,127.0742578,,일반쓰레기,서울특별시 노원구청,,2025-03-26
태릉입구역 1번출구 버스정류장,서울특별시,노원구,서울특별시 노원구 화랑로 421,,37.61752173,127.0743315,,일반쓰레기,서울특별시 노원구청,,2025-03-26
태릉입구역 7번출구 버스정류장,서울특별시,노원구,서울특별시 노원구 화랑로 440-2,,37.61768123,127.076266,,일반쓰레기,서울특별시 노원구청,,2025-03-26
예수사랑교회 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 노원로 31-2,,37.62444854,127.0862158,,일반쓰레기,서울특별시 노원구청,,2025-03-26
화랑대역 2번출구 버스정류장,서울특별시,노원구,,서울특별시 노원구 공릉동 90-2,37.62095614,127.0848955,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계주공7단지(704동 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1456,,37.66067691,127.0614956,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계주공7단지(714동 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1456,,37.66067691,127.0614956,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계주공9단지(914동 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 노원로 532,,37.66461677,127.0598168,,일반쓰레기,서울특별시 노원구청,,2025-03-26
대림종합상가(대림아파트 2동 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로221길 22,,37.6599719,127.0573759,,일반쓰레기,서울특별시 노원구청,,2025-03-26
맥도날드 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1629-2,,37.67386054,127.0552343,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노일초등학교 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1625,,37.67375444,127.0549667,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노원구청 건너편(상계동 704 건물 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 노해로75길 14-2,,37.65429614,127.0576013,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노원구청(창동농협물류센털방면)버스정류장,서울특별시,노원구,서울특별시 노원구 노해로 449,,37.65405358,127.0579974,,일반쓰레기,서울특별시 노원구청,,2025-03-26
당현천 근린공원(동일로 1328-1) 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1328-1,,37.64741034,127.0636403,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계주공 2단지(201동 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1355,,37.64970076,127.0613593,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계주공4단지(상계동 749-3 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1368,,37.65074309,127.0619264,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계주공15단지(1508동 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로227길 26,,37.67019074,127.0546889,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계주공10단지(1001동 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 노원로 564,,37.66165211,127.0561247,,일반쓰레기,서울특별시 노원구청,,2025-03-26
월계주공 1단지(103동) 버스정류장,서울특별시,노원구,서울특별시 노원구 초안산로1길 15,,37.62729655,127.053318,,일반쓰레기,서울특별시 노원구청,,2025-03-26
월계주공 1단지(108동) 버스정류장,서울특별시,노원구,서울특별시 노원구 초안산로1길 15,,37.62729655,127.053318,,일반쓰레기,서울특별시 노원구청,,2025-03-26
