설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자
독막로 242 노기홍 사무소 앞,서울특별시,마포구,서울특별시 마포구 독막로 242,,37.5465984,126.940279,독막로 242 노기홍 사무소 앞,일반쓰레기,서울특별시 마포구청,02-3153-9222,2024-11-28
독막로 241 노기홍 사무소 건너편,서울특별시,마포구,서울특별시 마포구 독막로 241,,37.54692349,126.9406001,독막로 241 노기홍 사무소 건너편,일반쓰레기,서울특별시 마포구청,02-3153-9222,2024-11-28
독막로 221(신수동50-2) 정자나무 공원 앞,서울특별시,마포구,서울특별시 마포구 독막로 221,,37.54754104,126.9384518,독막로 221(신수동50-2) 정자나무 공원 앞,일반쓰레기,서울특별시 마포구청,02-3153-9222,2024-11-28
독막로 192 신수동 주민센터 앞,서울특별시,마포구,서울특별시 마포구 독막로 192,,37.54715926,126.9351838,독막로 192 신수동 주민센터 앞,일반쓰레기,서울특별시 마포구청,02-3153-9222,2024-11-28
마포대로 61-1 트라팰리스 앞 횡단보도,서울특별시,마포구,서울특별시 마포구 마포대로 61-1,,37.54135699,126.9480097,마포대로 61-1 트라팰리스 앞 횡단보도,일반쓰레기,서울특별시 마포구청,02-3153-9222,2024-11-28
마포대로 33 마포역 1번 출구,서울특별시,마포구,서울특별시 마포구 마포대로 33,,37.53958379,126.9459204,마포대로 33 마포역 1번 출구,일반쓰레기,서울특별시 마포구청,02-3153-9222,2024-11-28
마포대로 버스정류장(14-001)(가든호텔 앞),서울특별시,마포구,,서울특별시 마포구 도화동 293-1,37.54118043,126.948038,마포대로 버스정류장(14-001)(가든호텔 앞),일반쓰레기,서울특별시 마포구청,02-3153-9222,2024-11-28
마포대로 20(마포역 4번 출구),서울특별시,마포구,서울특별시 마포구 마포대로 20,,37.53842521,126.9449856,마포대로 20(마포역 4번 출구),일반쓰레기,서울특별시 마포구청,02-3153-9222,2024-11-28
신촌로 174 중우빌딩 횡단보도 옆,서울특별시,마포구,서울특별시 마포구 신촌로 174,,37.5564851,126.9449971,신촌로 174 중우빌딩 횡단보도 옆,일반쓰레기,서울특별시 마포구청,02-3153-9222,2024-11-28
신촌로 110 웨스턴동물의료센터 신촌역 5번출구,서울특별시,마포구,서울특별시 마포구 신촌로 110,,37.5551608,126.9381296,신촌로 110 웨스턴동물의료센터 신촌역 5번출구,일반쓰레기,서울특별시 마포구청,02-3153-9222,2024-11-28
노고산동 112-5 서강대역 2번 출구 자전거대여소 앞,서울특별시,마포구,,서울특별시 마포구 노고산동 112-5,37.55322915,126.9343748,노고산동 112-5 서강대역 2번 출구 자전거대여소 앞,일반쓰레기,서울특별시 마포구청,02-3153-9222,2024-11-28
