설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자
오르셀의원 앞,서울특별시,서초구,서울특별시 서초구 강남대로623,,37.51740815,127.01873312,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
신사역4번출구 옆,서울특별시,서초구,서울특별시 서초구 강남대로603-2,,37.51555521,127.01947106,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
대도식당 앞,서울특별시,서초구,서울특별시 서초구 강남대로567,,37.51239375,127.02006881,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
고도일병원 앞,서울특별시,서초구,서울특별시 서초구 강남대로505,,37.50701446,127.02270283,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
스타벅스 앞,서울특별시,서초구,서울특별시 서초구 강남대로483,,37.50532543,127.02364895,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
신논현역2번출구 뒤,서울특별시,서초구,서울특별시 서초구 강남대로477-2,,37.50491900,127.02404126,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
자라 앞,서울특별시,서초구,서울특별시 서초구 강남대로447,,37.50219197,127.02509679,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
유화빌딩 앞,서울특별시,서초구,서울특별시 서초구 강남대로441,,37.50173585,127.02527849,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
이니스프리 앞,서울특별시,서초구,서울특별시 서초구 강남대로423,,37.50030971,127.02581530,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
대동빌딩 앞,서울특별시,서초구,서울특별시 서초구 강남대로415,,37.49956040,127.02633978,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
던킨도너츠 앞,서울특별시,서초구,서울특별시 서초구 강남대로373,,37.49598293,127.02801012,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
도씨에빛 1 앞,서울특별시,서초구,서울특별시 서초구 강남대로365,,37.49532341,127.02834890,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
티월드 앞,서울특별시,서초구,서울특별시 서초구 강남대로359,,37.49479896,127.02860980,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
신한금융투자 강남중앙지점 앞,서울특별시,서초구,서울특별시 서초구 강남대로343,,37.49351955,127.02924120,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
지하철 환풍구 옆,서울특별시,서초구,서울특별시 서초구 강남대로299,,37.48975281,127.03098342,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
양재역 1번출구 옆,서울특별시,서초구,서울특별시 서초구 남부순환로2585,,37.48393473,127.03454419,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
양재역 11번출구 옆,서울특별시,서초구,서울특별시 서초구 남부순환로2585,,37.48393473,127.03454419,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
맥도널드 앞,서울특별시,서초구,서울특별시 서초구 강남대로213,,37.48276664,127.03494955,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
양재역 7번출구 옆,서울특별시,서초구,서울특별시 서초구 남부순환로2585,,37.48393473,127.03454419,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
상록빌딩 앞,서울특별시,서초구,서울특별시 서초구 강남대로148,,37.47788797,127.03918034,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
일동제약사거리 버스정류장(22-291),서울특별시,서초구,,서울특별시 서초구 양재동 105-4(강남대로),37.47859191,127.03843106,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
