설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자
성북천 분수광장 평화의소녀상 앞,서울특별시,성북구,,서울특별시 성북구 동소문동2가 2-4,37.58840558,127.0064867,,재활용쓰레기,서울특별시 성북구청,02-2241-4418,2025-09-01
삼선교.한성대학교.조소앙활동터 버스정류장(08-010),서울특별시,성북구,서울특별시 성북구 동소문로 12-1,서울특별시 성북구 동소문동2가 2-1,37.58889911,127.0074702,,일반쓰레기,서울특별시 성북구청,02-2241-4418,2025-09-01
삼선교.한성대학교.조소앙활동터 버스정류장(08-009),서울특별시,성북구,,서울특별시 성북구 동소문동3가 1-1,37.5899539147,127.009784,,일반쓰레기,서울특별시 성북구청,02-2241-4418,2025-09-01
한성대입구역 5번 출구,서울특별시,성북구,서울특별시 성북구 성북로 3,서울특별시 성북구 성북동1가 35-33,37.58862414,127.0055302,,재활용쓰레기,서울특별시 성북구청,02-2241-4418,2025-09-01
돈암사거리.성신여대입구 버스정류장(08-007),서울특별시,성북구,,서울특별시 성북구 동선동1가 123-1,37.59403525,127.0185316,,일반쓰레기,서울특별시 성북구청,02-2241-4418,2025-09-01
돈암사거리.성신여대입구 버스정류장(08-008),서울특별시,성북구,,서울특별시 성북구 동선동1가 101-1,37.5930516,127.0173347,,재활용쓰레기,서울특별시 성북구청,02-2241-4418,2025-09-01
"성신여대입구역 버스정류장(08-270), 아리랑힐호텔 동대문 앞",서울특별시,성북구,서울특별시 성북구 아리랑로8,서울특별시 성북구 동선동4가 26,37.59360817,127.0166658,,일반쓰레기,서울특별시 성북구청,02-2241-4418,2025-09-01
성신필약국 앞,서울특별시,성북구,서울특별시 성북구 아리랑로7-1,서울특별시 성북구 동소문동6가 143-2,37.5934711,127.0161231,,재활용쓰레기,서울특별시 성북구청,02-2241-4418,2025-09-01
돈암동삼성아파트입구 버스정류장(08-123),서울특별시,성북구,서울특별시 성북구 정릉로 372-1,서울특별시 성북구 돈암동 9-2,37.60188115,127.0244669,,일반쓰레기,서울특별시 성북구청,02-2241-4418,2025-09-01
미아리고개.미아리예술극장 버스정류장(08-005),서울특별시,성북구,서울특별시 성북구 동소문로 181-1,서울특별시 성북구 돈암동 49-1,37.59831397,127.0215854,,재활용쓰레기,서울특별시 성북구청,02-2241-4418,2025-09-01
미아리고개.미아리예술극장 버스정류장(08-006),서울특별시,성북구,서울특별시 성북구 동소문로 184-1,서울특별시 성북구 돈암동 19-309,37.59840562,127.0219621,,일반쓰레기,서울특별시 성북구청,02-2241-4418,2025-09-01
