설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자
겸재로 120-1,서울특별시,중랑구,서울특별시 중랑구 겸재로 120-1,서울특별시 중랑구 면목동 150-16,37.58672569,127.0812344,브랜드호프 앞,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
면목동 396-1,서울특별시,중랑구,,서울특별시 중랑구 면목동 396-1,37.5909884,127.0755544,7호선 사가정역 1번 출구 앞,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로49길 56,서울특별시,중랑구,서울특별시 중랑구 사가정로49길 56,서울특별시 중랑구 면목동 570,37.58350833,127.086969,녹색병원 정문 앞,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로49길 56,서울특별시,중랑구,서울특별시 중랑구 사가정로49길 56,서울특별시 중랑구 면목동 570,37.58350833,127.086969,까치어린이 공원 앞,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (1),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (2),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (3),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (4),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (5),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (6),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (7),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (8),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (9),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (10),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (11),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (12),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (13),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (14),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
사가정로51길 (15),서울특별시,중랑구,서울특별시 중랑구 사가정로51길,,37.58234425,127.0879116,사가정 먹자골목 주변,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (1)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (2)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (3)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (4)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (5)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (6)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (7)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (8)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (9)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (10)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (11)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (12)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (13)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (14)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (15)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (16)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
"봉우재로33길, 봉우재로43길, 망우로50길 (17)",서울특별시,중랑구,"서울특별시 중랑구 봉우재로33길, 봉우재로43길, 망우로50길",,37.59463947,127.0885545,상봉먹자골목형상점가,일반쓰레기,서울특별시 중랑구청,02-2094-1958,2025-08-25
